league,season,game,stage_id,game_id,status,start_time,home_team_id,home_team,home_yellow_cards,home_red_cards,away_team_id,away_team,away_yellow_cards,away_red_cards,has_incidents_summary,has_preview,score_changed_at,elapsed,last_scorer,is_top_match,home_team_country_code,away_team_country_code,comment_count,is_lineup_confirmed,is_stream_available,match_is_opta,home_team_country_name,away_team_country_name,date,home_score,away_score,incidents,bets,aggregate_winner_field,winner_field,period,extra_result_field,home_extratime_score,away_extratime_score,home_penalty_score,away_penalty_score,started_at_utc,first_half_ended_at_utc,second_half_started_at_utc,stage
ITA-Serie A,2223,2022-08-13 AC Milan-Udinese,21087,1651425,6,2022-08-13T17:30:00,80,AC Milan,1,0,86,Udinese,4,0,True,True,2022-08-13 19:01:43Z,FT,0.0,True,it,it,3,True,False,False,Italy,Italy,2022-08-13 16:30:00+00:00,4,2,"[{'minute': '2', 'type': 1, 'subType': 1, 'playerName': 'Rodrigo Becão', 'playerId': 338507, 'participatingPlayerName': 'Gerard Deulofeu', 'participatingPlayerId': 98317, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '11', 'type': 1, 'subType': 2, 'playerName': 'Theo Hernández', 'playerId': 303115, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '15', 'type': 1, 'subType': 1, 'playerName': 'Ante Rebic', 'playerId': 101735, 'participatingPlayerName': 'Davide Calabria', 'participatingPlayerId': 260498, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '46', 'type': 1, 'subType': 1, 'playerName': 'Brahim Díaz', 'playerId': 317541, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '49', 'type': 1, 'subType': 1, 'playerName': 'Adam Masina', 'playerId': 137512, 'participatingPlayerName': 'Roberto Pereyra', 'participatingPlayerId': 90000, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '68', 'type': 1, 'subType': 1, 'playerName': 'Ante Rebic', 'playerId': 101735, 'participatingPlayerName': 'Brahim Díaz', 'participatingPlayerId': 317541, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2022-08-13T16:30:52Z,2022-08-13T17:20:09Z,2022-08-13T17:38:45Z,Serie A
ITA-Serie A,2223,2022-08-13 Lecce-Inter,21087,1651431,6,2022-08-13T19:45:00,79,Lecce,4,0,75,Inter,2,0,True,True,2022-08-13 21:43:06Z,FT,1.0,True,it,it,7,True,False,False,Italy,Italy,2022-08-13 18:45:00+00:00,1,2,"[{'minute': '2', 'type': 1, 'subType': 1, 'playerName': 'Romelu Lukaku', 'playerId': 78498, 'participatingPlayerName': 'Matteo Darmian', 'participatingPlayerId': 23220, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '48', 'type': 1, 'subType': 1, 'playerName': 'Assan Ceesay', 'playerId': 363702, 'participatingPlayerName': 'Federico Di Francesco', 'participatingPlayerId': 128605, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '95', 'type': 1, 'subType': 1, 'playerName': 'Denzel Dumfries', 'playerId': 322153, 'participatingPlayerName': 'Lautaro Martínez', 'participatingPlayerId': 299344, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2022-08-13T18:47:04Z,2022-08-13T19:36:03Z,2022-08-13T19:53:11Z,Serie A
ITA-Serie A,2223,2022-08-13 Monza-Torino,21087,1651426,6,2022-08-13T19:45:00,269,Monza,1,0,72,Torino,2,0,True,True,2022-08-13 21:39:56Z,FT,0.0,False,it,it,2,True,False,False,Italy,Italy,2022-08-13 18:45:00+00:00,1,2,"[{'minute': '43', 'type': 1, 'subType': 1, 'playerName': 'Aleksey Miranchuk', 'playerId': 129354, 'participatingPlayerName': 'Antonio Sanabria', 'participatingPlayerId': 135057, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '66', 'type': 1, 'subType': 1, 'playerName': 'Antonio Sanabria', 'playerId': 135057, 'participatingPlayerName': 'Samuele Ricci', 'participatingPlayerId': 372509, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '94', 'type': 1, 'subType': 1, 'playerName': 'Dany Mota', 'playerId': 315287, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,1.0,7,,,,,,2022-08-13T18:47:04Z,2022-08-13T19:33:33Z,2022-08-13T19:50:32Z,Serie A
ITA-Serie A,2223,2022-08-13 Sampdoria-Atalanta,21087,1651427,6,2022-08-13T17:30:00,271,Sampdoria,4,0,300,Atalanta,6,0,True,True,2022-08-13 19:24:32Z,FT,1.0,False,it,it,2,True,False,False,Italy,Italy,2022-08-13 16:30:00+00:00,0,2,"[{'minute': '26', 'type': 1, 'subType': 1, 'playerName': 'Rafael Tolói', 'playerId': 64075, 'participatingPlayerName': 'Mario Pasalic', 'participatingPlayerId': 129903, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '95', 'type': 1, 'subType': 1, 'playerName': 'Ademola Lookman', 'playerId': 299451, 'participatingPlayerName': 'Ruslan Malinovskyi', 'participatingPlayerId': 295456, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2022-08-13T16:30:17Z,2022-08-13T17:17:33Z,2022-08-13T17:34:11Z,Serie A
ITA-Serie A,2223,2022-08-14 Fiorentina-Cremonese,21087,1651429,6,2022-08-14T17:30:00,73,Fiorentina,0,0,2731,Cremonese,3,1,True,True,2022-08-14 19:31:28Z,FT,0.0,False,it,it,2,True,False,False,Italy,Italy,2022-08-14 16:30:00+00:00,3,2,"[{'minute': '16', 'type': 1, 'subType': 1, 'playerName': 'Giacomo Bonaventura', 'playerId': 40384, 'participatingPlayerName': 'Christian Kouamé', 'participatingPlayerId': 322217, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '19', 'type': 1, 'subType': 1, 'playerName': 'David Okereke', 'playerId': 315538, 'participatingPlayerName': 'Paolo Ghiglione', 'participatingPlayerId': 259931, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '34', 'type': 1, 'subType': 1, 'playerName': 'Luka Jovic', 'playerId': 315755, 'participatingPlayerName': 'Riccardo Sottil', 'participatingPlayerId': 355391, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '43', 'type': 2, 'subType': 3, 'playerName': 'Gonzalo Escalante', 'playerId': 127764, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '68', 'type': 1, 'subType': 1, 'playerName': 'Matteo Bianchetti', 'playerId': 105249, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '95', 'type': 1, 'subType': 1, 'playerName': 'Rolando Mandragora', 'playerId': 241020, 'participatingPlayerName': 'Szymon Zurkowski', 'participatingPlayerId': 377183, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2022-08-14T16:33:04Z,2022-08-14T17:22:01Z,2022-08-14T17:40:50Z,Serie A
ITA-Serie A,2223,2022-08-14 Lazio-Bologna,21087,1651428,6,2022-08-14T17:30:00,77,Lazio,2,1,71,Bologna,5,1,True,True,2022-08-14 19:11:20Z,FT,0.0,False,it,it,3,True,False,False,Italy,Italy,2022-08-14 16:30:00+00:00,2,1,"[{'minute': '6', 'type': 2, 'subType': 3, 'playerName': 'Luís Maximiano', 'playerId': 361969, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '38', 'type': 1, 'subType': 2, 'playerName': 'Marko Arnautovic', 'playerId': 34693, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '48', 'type': 2, 'subType': 2, 'playerName': 'Adama Soumaoro', 'playerId': 11895, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '68', 'type': 1, 'subType': 3, 'playerName': 'Lorenzo De Silvestri', 'playerId': 19580, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '79', 'type': 1, 'subType': 1, 'playerName': 'Ciro Immobile', 'playerId': 70141, 'participatingPlayerName': 'Sergej Milinkovic-Savic', 'participatingPlayerId': 288767, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2022-08-14T16:30:57Z,2022-08-14T17:21:14Z,2022-08-14T17:37:15Z,Serie A
ITA-Serie A,2223,2022-08-14 Salernitana-Roma,21087,1651432,6,2022-08-14T19:45:00,143,Salernitana,3,0,84,Roma,2,0,True,True,2022-08-14 20:19:01Z,FT,1.0,False,it,it,2,True,False,False,Italy,Italy,2022-08-14 18:45:00+00:00,0,1,"[{'minute': '33', 'type': 1, 'subType': 1, 'playerName': 'Bryan Cristante', 'playerId': 109149, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}]",,,1.0,7,,,,,,2022-08-14T18:45:25Z,2022-08-14T19:31:20Z,2022-08-14T19:47:00Z,Serie A
ITA-Serie A,2223,2022-08-14 Spezia-Empoli,21087,1651430,6,2022-08-14T19:45:00,1501,Spezia,2,0,272,Empoli,1,0,True,True,2022-08-14 20:21:30Z,FT,0.0,False,it,it,1,True,False,False,Italy,Italy,2022-08-14 18:45:00+00:00,1,0,"[{'minute': '36', 'type': 1, 'subType': 1, 'playerName': ""M'Bala Nzola"", 'playerId': 343368, 'participatingPlayerName': 'Simone Bastoni', 'participatingPlayerId': 142375, 'runningScore': None, 'field': 0, 'period': 1}]",,,0.0,7,,,,,,2022-08-14T18:45:21Z,2022-08-14T19:31:24Z,2022-08-14T19:46:59Z,Serie A
ITA-Serie A,2223,2022-08-15 Juventus-Sassuolo,21087,1651424,6,2022-08-15T19:45:00,87,Juventus,1,0,2889,Sassuolo,3,0,True,True,2022-08-15 20:56:32Z,FT,0.0,True,it,it,9,True,False,False,Italy,Italy,2022-08-15 18:45:00+00:00,3,0,"[{'minute': '26', 'type': 1, 'subType': 1, 'playerName': 'Ángel Di María', 'playerId': 23110, 'participatingPlayerName': 'Alex Sandro', 'participatingPlayerId': 100995, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '43', 'type': 1, 'subType': 2, 'playerName': 'Dusan Vlahovic', 'playerId': 315369, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '51', 'type': 1, 'subType': 1, 'playerName': 'Dusan Vlahovic', 'playerId': 315369, 'participatingPlayerName': 'Ángel Di María', 'participatingPlayerId': 23110, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2022-08-15T18:45:12Z,2022-08-15T19:35:30Z,2022-08-15T19:50:35Z,Serie A
ITA-Serie A,2223,2022-08-15 Verona-Napoli,21087,1651423,6,2022-08-15T17:30:00,76,Verona,2,0,276,Napoli,2,0,True,True,2022-08-15 19:18:00Z,FT,1.0,False,it,it,3,True,False,False,Italy,Italy,2022-08-15 16:30:00+00:00,2,5,"[{'minute': '29', 'type': 1, 'subType': 1, 'playerName': 'Kevin Lasagna', 'playerId': 294169, 'participatingPlayerName': 'Koray Günter', 'participatingPlayerId': 116944, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '37', 'type': 1, 'subType': 1, 'playerName': 'Khvicha Kvaratskhelia', 'playerId': 370984, 'participatingPlayerName': 'Hirving Lozano', 'participatingPlayerId': 318511, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '48', 'type': 1, 'subType': 1, 'playerName': 'Thomas Henry', 'playerId': 301074, 'participatingPlayerName': 'Davide Faraoni', 'participatingPlayerId': 33875, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '48', 'type': 1, 'subType': 1, 'playerName': 'Victor Osimhen', 'playerId': 298510, 'participatingPlayerName': 'Giovanni Di Lorenzo', 'participatingPlayerId': 122469, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '55', 'type': 1, 'subType': 1, 'playerName': 'Piotr Zielinski', 'playerId': 118169, 'participatingPlayerName': 'Khvicha Kvaratskhelia', 'participatingPlayerId': 370984, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '65', 'type': 1, 'subType': 1, 'playerName': 'Stanislav Lobotka', 'playerId': 111892, 'participatingPlayerName': 'Mário Rui', 'participatingPlayerId': 106931, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '79', 'type': 1, 'subType': 1, 'playerName': 'Matteo Politano', 'playerId': 122683, 'participatingPlayerName': 'Victor Osimhen', 'participatingPlayerId': 298510, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2022-08-15T16:31:40Z,2022-08-15T17:20:20Z,2022-08-15T17:37:19Z,Serie A
