from,rank,team,country,level,elo,to
1948-07-04,,Reggiana,ITA,2,1471.3972168,1948-09-19
1948-09-20,,Reggiana,ITA,2,1464.53125,1948-09-26
1948-09-27,,Reggiana,ITA,2,1476.14465332,1948-10-03
1948-10-04,,Reggiana,ITA,2,1495.20776367,1948-10-10
1948-10-11,,Reggiana,ITA,2,1482.86645508,1948-10-17
1948-10-18,,Reggiana,ITA,2,1494.83508301,1948-10-24
1948-10-25,,Reggiana,ITA,2,1510.42871094,1948-10-31
1948-11-01,,Reggiana,ITA,2,1508.74279785,1948-11-04
1948-11-05,,Reggiana,ITA,2,1501.08435059,1948-11-07
1948-11-08,,Reggiana,ITA,2,1489.1385498,1948-11-14
1948-11-15,,Reggiana,ITA,2,1487.32189941,1948-11-21
1948-11-22,,Reggiana,ITA,2,1475.92285156,1948-11-28
1948-11-29,,Reggiana,ITA,2,1481.59484863,1948-12-05
1948-12-06,,Reggiana,ITA,2,1476.83984375,1948-12-12
1948-12-13,,Reggiana,ITA,2,1484.75317383,1948-12-19
1948-12-20,,Reggiana,ITA,2,1480.25708008,1948-12-26
1948-12-27,,Reggiana,ITA,2,1475.75244141,1948-12-30
1948-12-31,,Reggiana,ITA,2,1471.0546875,1949-01-02
1949-01-03,,Reggiana,ITA,2,1482.13439941,1949-01-06
1949-01-07,,Reggiana,ITA,2,1478.24499512,1949-01-09
1949-01-10,,Reggiana,ITA,2,1466.12512207,1949-01-16
1949-01-17,,Reggiana,ITA,2,1462.95080566,1949-01-23
1949-01-24,,Reggiana,ITA,2,1452.29956055,1949-01-30
1949-01-31,,Reggiana,ITA,2,1457.03894043,1949-02-06
1949-02-07,,Reggiana,ITA,2,1465.73339844,1949-02-13
1949-02-14,,Reggiana,ITA,2,1460.71374512,1949-02-20
1949-02-21,,Reggiana,ITA,2,1467.62316895,1949-03-05
1949-03-06,,Reggiana,ITA,2,1469.62316895,1949-03-06
1949-03-07,,Reggiana,ITA,2,1464.57543945,1949-03-13
1949-03-14,,Reggiana,ITA,2,1461.20471191,1949-03-20
1949-03-21,,Reggiana,ITA,2,1465.16955566,1949-04-02
1949-04-03,,Reggiana,ITA,2,1477.16955566,1949-04-03
1949-04-04,,Reggiana,ITA,2,1472.43371582,1949-04-10
1949-04-11,,Reggiana,ITA,2,1479.88952637,1949-04-17
1949-04-18,,Reggiana,ITA,2,1476.42211914,1949-04-24
1949-04-25,,Reggiana,ITA,2,1472.7331543,1949-05-01
1949-05-02,,Reggiana,ITA,2,1480.70007324,1949-05-08
1949-05-09,,Reggiana,ITA,2,1489.27160645,1949-05-15
1949-05-16,,Reggiana,ITA,2,1483.49645996,1949-05-25
1949-05-26,,Reggiana,ITA,2,1489.49645996,1949-05-29
1949-05-30,,Reggiana,ITA,2,1495.53796387,1949-06-05
1949-06-06,,Reggiana,ITA,2,1499.66918945,1949-06-12
1949-06-13,,Reggiana,ITA,2,1496.27758789,1949-06-16
1949-06-17,,Reggiana,ITA,2,1492.27758789,1949-06-19
1949-06-20,,Reggiana,ITA,2,1503.56494141,1949-06-26
1949-06-27,,Reggiana,ITA,2,1525.10595703,1949-06-29
1949-06-30,,Reggiana,ITA,2,1436.91357422,1949-07-02
1949-07-03,,Reggiana,ITA,2,1443.25097656,1949-07-03
1949-07-04,,Reggiana,ITA,2,1449.55310059,1949-09-11
1949-09-12,,Reggiana,ITA,2,1423.09936523,1949-09-18
1949-09-19,,Reggiana,ITA,2,1420.72851562,1949-09-25
1949-09-26,,Reggiana,ITA,2,1427.94030762,1949-10-02
1949-10-03,,Reggiana,ITA,2,1423.55639648,1949-10-09
1949-10-10,,Reggiana,ITA,2,1427.91345215,1949-10-16
1949-10-17,,Reggiana,ITA,2,1426.27587891,1949-10-23
1949-10-24,,Reggiana,ITA,2,1423.70092773,1949-10-30
1949-10-31,,Reggiana,ITA,2,1420.52355957,1949-11-06
1949-11-07,,Reggiana,ITA,2,1416.78991699,1949-11-13
1949-11-14,,Reggiana,ITA,2,1421.13745117,1949-11-20
1949-11-21,,Reggiana,ITA,2,1438.64501953,1949-11-27
1949-11-28,,Reggiana,ITA,2,1454.62353516,1949-12-04
1949-12-05,,Reggiana,ITA,2,1451.49499512,1949-12-08
1949-12-09,,Reggiana,ITA,2,1457.37365723,1949-12-11
1949-12-12,,Reggiana,ITA,2,1452.0925293,1949-12-18
1949-12-19,,Reggiana,ITA,2,1436.42773438,1949-12-26
1949-12-27,,Reggiana,ITA,2,1441.03405762,1950-01-01
1950-01-02,,Reggiana,ITA,2,1436.7434082,1950-01-08
1950-01-09,,Reggiana,ITA,2,1441.22546387,1950-01-15
1950-01-16,,Reggiana,ITA,2,1434.90185547,1950-01-22
1950-01-23,,Reggiana,ITA,2,1430.46826172,1950-01-29
1950-01-30,,Reggiana,ITA,2,1426.38684082,1950-02-05
1950-02-06,,Reggiana,ITA,2,1415.41772461,1950-02-12
1950-02-13,,Reggiana,ITA,2,1409.18603516,1950-02-19
1950-02-20,,Reggiana,ITA,2,1403.8494873,1950-02-26
1950-02-27,,Reggiana,ITA,2,1410.39172363,1950-03-12
1950-03-13,,Reggiana,ITA,2,1408.73327637,1950-03-19
1950-03-20,,Reggiana,ITA,2,1406.37817383,1950-03-26
1950-03-27,,Reggiana,ITA,2,1394.06054688,1950-04-02
1950-04-03,,Reggiana,ITA,2,1399.1796875,1950-04-09
1950-04-10,,Reggiana,ITA,2,1406.08813477,1950-04-16
1950-04-17,,Reggiana,ITA,2,1393.67272949,1950-04-23
1950-04-24,,Reggiana,ITA,2,1399.54724121,1950-04-30
1950-05-01,,Reggiana,ITA,2,1397.32861328,1950-05-07
1950-05-08,,Reggiana,ITA,2,1406.78112793,1950-05-14
1950-05-15,,Reggiana,ITA,2,1413.55737305,1950-05-21
1950-05-22,,Reggiana,ITA,2,1433.1607666,1950-05-28
1950-05-29,,Reggiana,ITA,2,1426.39025879,1950-06-04
1950-06-05,,Reggiana,ITA,2,1432.4909668,1950-06-11
1950-06-12,,Reggiana,ITA,2,1428.75024414,1950-06-14
1950-06-15,,Reggiana,ITA,2,1401.81188965,1950-06-16
1950-06-17,,Reggiana,ITA,2,1386.42858887,1950-06-18
1950-06-19,,Reggiana,ITA,2,1381.8684082,1950-06-25
1950-06-26,,Reggiana,ITA,2,1386.31469727,1950-09-10
1950-09-11,,Reggiana,ITA,2,1394.23730469,1950-09-17
1950-09-18,,Reggiana,ITA,2,1398.33996582,1950-09-24
1950-09-25,,Reggiana,ITA,2,1404.29870605,1950-10-01
1950-10-02,,Reggiana,ITA,2,1409.90100098,1950-10-08
1950-10-09,,Reggiana,ITA,2,1415.44104004,1950-10-15
1950-10-16,,Reggiana,ITA,2,1405.33422852,1950-10-22
1950-10-23,,Reggiana,ITA,2,1415.73034668,1950-10-29
1950-10-30,,Reggiana,ITA,2,1420.99255371,1950-11-05
1950-11-06,,Reggiana,ITA,2,1415.14453125,1950-11-12
1950-11-13,,Reggiana,ITA,2,1407.45837402,1950-11-19
1950-11-20,,Reggiana,ITA,2,1395.39807129,1950-12-03
1950-12-04,,Reggiana,ITA,2,1400.28137207,1950-12-10
