season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2425,2024-08-17,AC Milan,Torino,2,2,3,5,0,0
2425,2024-08-17,Empoli,Monza,0,0,1,1,0,0
2425,2024-08-17,Genoa,Inter,2,2,1,2,0,0
2425,2024-08-17,Parma Calcio 1913,Fiorentina,1,1,3,1,0,1
2425,2024-08-18,Bologna,Udinese,1,1,0,4,0,0
2425,2024-08-18,Cagliari,Roma,0,0,2,0,0,0
2425,2024-08-18,Lazio,Venezia,3,1,1,2,0,0
2425,2024-08-18,Verona,Napoli,3,0,4,1,0,0
2425,2024-08-19,Juventus,Como,3,0,2,4,0,0
2425,2024-08-19,Lecce,Atalanta,0,4,0,2,0,0
2425,2024-08-24,Inter,Lecce,2,0,0,2,0,0
2425,2024-08-24,Monza,Genoa,0,1,2,3,0,0
2425,2024-08-24,Parma Calcio 1913,AC Milan,2,1,0,3,0,0
2425,2024-08-24,Udinese,Lazio,2,1,3,1,1,0
2425,2024-08-25,Fiorentina,Venezia,0,0,1,2,0,0
2425,2024-08-25,Napoli,Bologna,3,0,2,2,0,0
2425,2024-08-25,Roma,Empoli,1,2,0,3,0,0
2425,2024-08-25,Torino,Atalanta,2,1,3,4,0,0
2425,2024-08-26,Cagliari,Como,1,1,2,2,0,0
2425,2024-08-26,Verona,Juventus,0,3,1,0,0,0
2425,2024-08-30,Inter,Atalanta,4,0,0,2,0,0
2425,2024-08-30,Venezia,Torino,0,1,2,4,0,0
2425,2024-08-31,Bologna,Empoli,1,1,0,3,0,0
2425,2024-08-31,Lazio,AC Milan,2,2,4,2,0,0
2425,2024-08-31,Lecce,Cagliari,1,0,1,3,1,0
2425,2024-08-31,Napoli,Parma Calcio 1913,2,1,2,3,0,1
2425,2024-09-01,Fiorentina,Monza,2,2,2,4,0,0
2425,2024-09-01,Genoa,Verona,0,2,2,6,0,0
2425,2024-09-01,Juventus,Roma,0,0,1,2,0,0
2425,2024-09-01,Udinese,Como,1,0,3,0,0,0
2425,2024-09-14,AC Milan,Venezia,4,0,1,2,0,1
2425,2024-09-14,Como,Bologna,2,2,2,1,0,0
2425,2024-09-14,Empoli,Juventus,0,0,1,2,0,0
2425,2024-09-15,Atalanta,Fiorentina,3,2,2,3,0,0
2425,2024-09-15,Cagliari,Napoli,0,4,1,2,0,0
2425,2024-09-15,Genoa,Roma,1,1,1,3,0,0
2425,2024-09-15,Monza,Inter,1,1,1,2,0,0
2425,2024-09-15,Torino,Lecce,0,0,1,3,0,0
2425,2024-09-16,Lazio,Verona,2,1,2,2,0,0
2425,2024-09-16,Parma Calcio 1913,Udinese,2,3,1,3,1,0
2425,2024-09-20,Cagliari,Empoli,0,2,1,2,0,0
2425,2024-09-20,Verona,Torino,2,3,3,0,1,0
2425,2024-09-21,Juventus,Napoli,0,0,1,0,0,0
2425,2024-09-21,Lecce,Parma Calcio 1913,2,2,4,0,1,1
2425,2024-09-21,Venezia,Genoa,2,0,2,3,0,0
2425,2024-09-22,Fiorentina,Lazio,2,1,3,4,0,0
