league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ITA-Serie A,1415,2014-08-30 Chievo-Juventus,2,2014,5149,2014-08-30 17:00:00,109,98,Chievo,Juventus,JUV,CHI,3,2.6451000000000002,1,2.37394,2.37394,1.8717130000000002,3.8275862068965516,12,0,0.2319,0,0.502227,0.502227,-1.8717130000000002,9.64864864864865,1
ITA-Serie A,1415,2014-08-30 Roma-Fiorentina,2,2014,5150,2014-08-30 19:45:00,95,110,Roma,Fiorentina,FIO,ROM,0,0.2066,0,0.377616,0.377616,-1.8625239999999998,16.5,3,3,2.6843000000000004,2,2.24014,2.24014,1.8625239999999998,8.571428571428571,5
ITA-Serie A,1415,2014-08-31 AC Milan-Lazio,2,2014,5152,2014-08-31 17:00:00,111,96,AC Milan,Lazio,LAZ,MIL,0,1.3898,1,2.03815,1.27685,0.026860000000000106,6.857142857142857,15,3,1.3373,3,2.01129,1.24999,-0.026860000000000106,11.826086956521738,5
ITA-Serie A,1415,2014-08-31 Atalanta-Verona,2,2014,5151,2014-08-31 17:00:00,107,94,Atalanta,Verona,VER,ATA,1,1.1634,0,0.727137,0.727137,-0.153856,11.80952380952381,6,1,1.4682,0,0.880993,0.880993,0.153856,8.32,8
ITA-Serie A,1415,2014-08-31 Cesena-Parma,2,2014,5154,2014-08-31 19:45:00,203,204,Cesena,Parma,PAR,CES,0,0.6858,0,0.438551,0.438551,-0.6556190000000001,9.217391304347826,9,3,2.0082,1,1.09417,1.09417,0.6556190000000001,25.416666666666668,3
ITA-Serie A,1415,2014-08-31 Genoa-Napoli,2,2014,5155,2014-08-31 19:45:00,101,105,Genoa,Napoli,NAP,GEN,3,2.3868,2,1.79022,1.79022,1.2696749999999999,9.727272727272727,6,0,0.4185,1,0.520545,0.520545,-1.2696749999999999,12.28,3
ITA-Serie A,1415,2014-08-31 Palermo-Sampdoria,2,2014,5153,2014-08-31 19:45:00,100,102,Palermo,Sampdoria,SAM,PAL,1,1.2026999999999999,1,0.803464,0.803464,-0.119479,6.666666666666667,4,1,1.4397,1,0.922943,0.922943,0.119479,12.789473684210526,5
ITA-Serie A,1415,2014-08-31 Sassuolo-Cagliari,2,2014,5156,2014-08-31 19:45:00,104,116,Sassuolo,Cagliari,CAG,SAS,1,1.1467,1,0.852461,0.852461,-0.22781899999999988,5.162162162162162,6,1,1.5238,1,1.08028,1.08028,0.22781899999999988,13.083333333333334,6
ITA-Serie A,1415,2014-08-31 Torino-Inter,2,2014,5157,2014-08-31 19:45:00,113,106,Torino,Inter,INT,TOR,1,1.5054,0,1.31374,1.31374,0.9753129999999999,8.869565217391305,5,1,1.17,0,1.09973,0.338427,-0.9753129999999999,13.38888888888889,5
ITA-Serie A,1415,2014-08-31 Udinese-Empoli,2,2014,5158,2014-08-31 19:45:00,99,108,Udinese,Empoli,EMP,UDI,0,0.5842999999999999,0,0.68925,0.68925,-0.9972899999999999,15.941176470588236,6,3,2.1940999999999997,2,1.68654,1.68654,0.9972899999999999,12.08695652173913,5
ITA-Serie A,1415,2014-09-13 Empoli-Roma,2,2014,5109,2014-09-13 17:00:00,108,95,Empoli,Roma,ROM,EMP,3,2.1663,1,1.37321,1.37321,0.7801640000000001,8.758620689655173,7,0,0.5847,0,0.593046,0.593046,-0.7801640000000001,11.9375,7
ITA-Serie A,1415,2014-09-13 Juventus-Udinese,2,2014,5110,2014-09-13 19:45:00,98,99,Juventus,Udinese,UDI,JUV,0,0.5073,0,0.201525,0.201525,-0.906755,13.714285714285714,1,3,2.1729,2,1.10828,1.10828,0.906755,13.944444444444445,18
ITA-Serie A,1415,2014-09-14 Cagliari-Atalanta,2,2014,5115,2014-09-14 14:00:00,116,107,Cagliari,Atalanta,ATA,CAG,3,0.1221,2,0.616984,0.616984,-1.6294659999999999,12.0,3,0,2.8086,1,3.00775,2.24645,1.6294659999999999,5.6,18
ITA-Serie A,1415,2014-09-14 Fiorentina-Genoa,2,2014,5114,2014-09-14 14:00:00,110,101,Fiorentina,Genoa,GEN,FIO,1,0.1834,0,0.230085,0.230085,-1.8691449999999998,14.0,2,1,2.6992000000000003,0,2.09923,2.09923,1.8691449999999998,5.407407407407407,8
ITA-Serie A,1415,2014-09-14 Inter-Sassuolo,2,2014,5116,2014-09-14 14:00:00,106,104,Inter,Sassuolo,SAS,INT,0,0.0279,0,0.483421,0.483421,-3.482289,9.970588235294118,4,3,2.9571,7,3.96571,3.96571,3.482289,4.685714285714286,6
ITA-Serie A,1415,2014-09-14 Lazio-Cesena,2,2014,5112,2014-09-14 14:00:00,96,203,Lazio,Cesena,CES,LAZ,0,0.2799,0,0.154651,0.154651,-1.398059,23.083333333333332,0,3,2.5260000000000002,3,1.55271,1.55271,1.398059,5.173913043478261,7
ITA-Serie A,1415,2014-09-14 Napoli-Chievo,2,2014,5113,2014-09-14 14:00:00,105,109,Napoli,Chievo,CHI,NAP,3,0.35519999999999996,1,0.667533,0.667533,-0.7766669999999999,13.68,6,0,2.4786,0,2.2055,1.4442,0.7766669999999999,3.892857142857143,13
ITA-Serie A,1415,2014-09-14 Parma-AC Milan,2,2014,5117,2014-09-14 19:45:00,204,111,Parma,AC Milan,MIL,PAR,3,2.7525000000000004,5,3.77794,3.01664,1.5864500000000001,14.588235294117647,2,0,0.1683,4,1.43019,1.43019,-1.5864500000000001,11.538461538461538,8
ITA-Serie A,1415,2014-09-14 Sampdoria-Torino,2,2014,5111,2014-09-14 11:30:00,102,113,Sampdoria,Torino,TOR,SAM,0,1.2117,0,0.389513,0.389513,-0.03168199999999999,10.35,3,3,1.2762,2,0.421195,0.421195,0.03168199999999999,10.714285714285714,3
ITA-Serie A,1415,2014-09-15 Verona-Palermo,2,2014,5118,2014-09-15 19:45:00,94,100,Verona,Palermo,PAL,VER,0,0.7975,1,1.38681,1.38681,0.04356000000000004,8.821428571428571,5,3,1.9537,2,2.10454,1.34325,-0.04356000000000004,10.166666666666666,1
ITA-Serie A,1415,2014-09-20 AC Milan-Juventus,2,2014,5120,2014-09-20 19:45:00,111,98,AC Milan,Juventus,JUV,MIL,3,2.4194,1,1.44109,1.44109,1.159663,7.133333333333334,11,0,0.3653,0,0.281427,0.281427,-1.159663,10.689655172413794,4
ITA-Serie A,1415,2014-09-20 Cesena-Empoli,2,2014,5119,2014-09-20 17:00:00,203,108,Cesena,Empoli,EMP,CES,1,1.7428000000000001,2,2.57707,1.81577,-0.2218899999999997,9.941176470588236,6,1,1.0039,2,2.03766,2.03766,0.2218899999999997,14.25,2
ITA-Serie A,1415,2014-09-21 Atalanta-Fiorentina,2,2014,5126,2014-09-21 17:00:00,107,110,Atalanta,Fiorentina,FIO,ATA,3,1.2573,1,1.02956,1.02956,-0.11734,5.954545454545454,6,0,1.4316,0,1.1469,1.1469,0.11734,19.214285714285715,6
ITA-Serie A,1415,2014-09-21 Chievo-Parma,2,2014,5121,2014-09-21 11:30:00,109,204,Chievo,Parma,PAR,CHI,3,0.8922000000000001,3,0.934229,0.934229,-0.41498100000000004,5.071428571428571,5,0,1.8036,2,1.34921,1.34921,0.41498100000000004,12.285714285714286,3
ITA-Serie A,1415,2014-09-21 Genoa-Lazio,2,2014,5122,2014-09-21 14:00:00,101,96,Genoa,Lazio,LAZ,GEN,0,1.936,0,1.97129,1.97129,0.7852699999999999,4.175,8,3,0.8254,1,1.18602,1.18602,-0.7852699999999999,12.631578947368421,2
ITA-Serie A,1415,2014-09-21 Palermo-Inter,2,2014,5128,2014-09-21 19:45:00,100,106,Palermo,Inter,INT,PAL,1,1.1735,1,0.477134,0.477134,-0.10762999999999995,10.923076923076923,2,1,1.3718,1,0.584764,0.584764,0.10762999999999995,18.88888888888889,2
ITA-Serie A,1415,2014-09-21 Roma-Cagliari,2,2014,5123,2014-09-21 14:00:00,95,116,Roma,Cagliari,CAG,ROM,0,0.4502,0,0.493968,0.493968,-1.028322,21.476190476190474,4,3,2.3291,2,1.52229,1.52229,1.028322,11.695652173913043,6
ITA-Serie A,1415,2014-09-21 Sassuolo-Sampdoria,2,2014,5124,2014-09-21 14:00:00,104,102,Sassuolo,Sampdoria,SAM,SAS,1,1.2961,0,0.654804,0.654804,-0.001798999999999995,7.111111111111111,6,1,1.3075,0,0.656603,0.656603,0.001798999999999995,9.25,2
