league,season,game,stage_id,game_id,status,start_time,home_team_id,home_team,home_yellow_cards,home_red_cards,away_team_id,away_team,away_yellow_cards,away_red_cards,has_incidents_summary,has_preview,score_changed_at,elapsed,last_scorer,is_top_match,home_team_country_code,away_team_country_code,comment_count,is_lineup_confirmed,is_stream_available,match_is_opta,home_team_country_name,away_team_country_name,date,home_score,away_score,incidents,bets,aggregate_winner_field,winner_field,period,extra_result_field,home_extratime_score,away_extratime_score,home_penalty_score,away_penalty_score,started_at_utc,first_half_ended_at_utc,second_half_started_at_utc,stage
ITA-Serie A,2425,2024-08-17 AC Milan-Torino,23490,1834867,6,2024-08-17T19:45:00,80,AC Milan,3,0,72,Torino,5,0,True,True,2024-08-17 21:46:58Z,FT,0.0,True,it,it,1,True,False,False,Italy,Italy,2024-08-17 18:45:00+00:00,2,2,"[{'minute': '30', 'type': 1, 'subType': 3, 'playerName': 'Malick Thiaw', 'playerId': 393355, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '68', 'type': 1, 'subType': 1, 'playerName': 'Duván Zapata', 'playerId': 41073, 'participatingPlayerName': 'Valentino Lazaro', 'participatingPlayerId': 114323, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '89', 'type': 1, 'subType': 1, 'playerName': 'Álvaro Morata', 'playerId': 91213, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '95', 'type': 1, 'subType': 1, 'playerName': 'Noah Okafor', 'playerId': 376090, 'participatingPlayerName': 'Yunus Musah', 'participatingPlayerId': 400357, 'runningScore': None, 'field': 0, 'period': 3}]",,,,7,,,,,,2024-08-17T18:47:13Z,2024-08-17T19:36:06Z,2024-08-17T19:56:39Z,
ITA-Serie A,2425,2024-08-17 Empoli-Monza,23490,1834861,6,2024-08-17T19:45:00,272,Empoli,1,0,269,Monza,1,0,False,True,,FT,,False,it,it,0,True,False,False,Italy,Italy,2024-08-17 18:45:00+00:00,0,0,[],,,,7,,,,,,2024-08-17T18:45:37Z,2024-08-17T19:37:01Z,2024-08-17T19:52:32Z,
ITA-Serie A,2425,2024-08-17 Genoa-Inter,23490,1834862,6,2024-08-17T17:30:00,278,Genoa,1,0,75,Inter,2,0,True,True,2024-08-17 19:31:21Z,FT,0.0,True,it,it,1,True,False,False,Italy,Italy,2024-08-17 16:30:00+00:00,2,2,"[{'minute': '20', 'type': 1, 'subType': 1, 'playerName': 'Alessandro Vogliacco', 'playerId': 403463, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '30', 'type': 1, 'subType': 1, 'playerName': 'Marcus Thuram', 'playerId': 296322, 'participatingPlayerName': 'Nicolò Barella', 'participatingPlayerId': 148684, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '82', 'type': 1, 'subType': 1, 'playerName': 'Marcus Thuram', 'playerId': 296322, 'participatingPlayerName': 'Davide Frattesi', 'participatingPlayerId': 331425, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '95', 'type': 1, 'subType': 1, 'playerName': 'Junior Messias', 'playerId': 401098, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,,7,,,,,,2024-08-17T16:34:04Z,2024-08-17T17:22:58Z,2024-08-17T17:41:09Z,
ITA-Serie A,2425,2024-08-17 Parma Calcio 1913-Fiorentina,23490,1834868,6,2024-08-17T17:30:00,24341,Parma Calcio 1913,3,0,73,Fiorentina,1,1,True,True,2024-08-17 19:05:39Z,FT,1.0,False,it,it,0,True,False,False,Italy,Italy,2024-08-17 16:30:00+00:00,1,1,"[{'minute': '22', 'type': 1, 'subType': 1, 'playerName': 'Dennis Man', 'playerId': 329769, 'participatingPlayerName': 'Ange-Yoan Bonny', 'participatingPlayerId': 447489, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '75', 'type': 1, 'subType': 1, 'playerName': 'Cristiano Biraghi', 'playerId': 93935, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '83', 'type': 2, 'subType': 2, 'playerName': 'Marin Pongracic', 'playerId': 336048, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,,7,,,,,,2024-08-17T16:31:51Z,2024-08-17T17:18:53Z,2024-08-17T17:35:52Z,
ITA-Serie A,2425,2024-08-18 Bologna-Udinese,23490,1834859,6,2024-08-18T17:30:00,71,Bologna,0,0,86,Udinese,4,0,True,True,2024-08-18 18:59:53Z,FT,1.0,False,it,it,1,True,False,False,Italy,Italy,2024-08-18 16:30:00+00:00,1,1,"[{'minute': '57', 'type': 1, 'subType': 2, 'playerName': 'Riccardo Orsolini', 'playerId': 286828, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '68', 'type': 1, 'subType': 1, 'playerName': 'Lautaro Giannetti', 'playerId': 126255, 'participatingPlayerName': 'Brenner', 'participatingPlayerId': 339723, 'runningScore': None, 'field': 1, 'period': 3}]",,,,7,,,,,,2024-08-18T16:32:14Z,2024-08-18T17:21:15Z,2024-08-18T17:36:17Z,
ITA-Serie A,2425,2024-08-18 Cagliari-Roma,23490,1834860,6,2024-08-18T19:45:00,78,Cagliari,2,0,84,Roma,0,0,False,True,,FT,,False,it,it,2,True,False,False,Italy,Italy,2024-08-18 18:45:00+00:00,0,0,[],,,,7,,,,,,2024-08-18T18:45:06Z,2024-08-18T19:30:14Z,2024-08-18T19:45:31Z,
ITA-Serie A,2425,2024-08-18 Lazio-Venezia,23490,1834865,6,2024-08-18T19:45:00,77,Lazio,1,0,85,Venezia,2,0,True,True,2024-08-18 21:26:09Z,FT,0.0,False,it,it,1,True,False,False,Italy,Italy,2024-08-18 18:45:00+00:00,3,1,"[{'minute': '3', 'type': 1, 'subType': 1, 'playerName': 'Magnus Kofod Andersen', 'playerId': 377274, 'participatingPlayerName': 'Mikael Ellertsson', 'participatingPlayerId': 424834, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '11', 'type': 1, 'subType': 1, 'playerName': 'Valentín Castellanos', 'playerId': 361406, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '44', 'type': 1, 'subType': 2, 'playerName': 'Mattia Zaccagni', 'playerId': 149029, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '81', 'type': 1, 'subType': 3, 'playerName': 'Giorgio Altare', 'playerId': 338476, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2024-08-18T18:46:24Z,2024-08-18T19:33:26Z,2024-08-18T19:50:08Z,
ITA-Serie A,2425,2024-08-18 Verona-Napoli,23490,1834863,6,2024-08-18T17:30:00,76,Verona,4,0,276,Napoli,1,0,True,True,2024-08-18 19:28:14Z,FT,0.0,False,it,it,0,True,False,False,Italy,Italy,2024-08-18 16:30:00+00:00,3,0,"[{'minute': '50', 'type': 1, 'subType': 1, 'playerName': 'Dailon Livramento', 'playerId': 528208, 'participatingPlayerName': 'Darko Lazovic', 'participatingPlayerId': 38442, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '75', 'type': 1, 'subType': 1, 'playerName': 'Daniel Mosquera', 'playerId': 532226, 'participatingPlayerName': 'Ondrej Duda', 'participatingPlayerId': 115257, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '94', 'type': 1, 'subType': 1, 'playerName': 'Daniel Mosquera', 'playerId': 532226, 'participatingPlayerName': 'Darko Lazovic', 'participatingPlayerId': 38442, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2024-08-18T16:31:05Z,2024-08-18T17:22:31Z,2024-08-18T17:39:12Z,
ITA-Serie A,2425,2024-08-19 Juventus-Como,23490,1834864,6,2024-08-19T19:45:00,87,Juventus,2,0,1290,Como,4,0,True,True,2024-08-19 21:34:29Z,FT,0.0,True,it,it,4,True,False,False,Italy,Italy,2024-08-19 18:45:00+00:00,3,0,"[{'minute': '23', 'type': 1, 'subType': 1, 'playerName': 'Samuel Mbangula', 'playerId': 468855, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '46', 'type': 1, 'subType': 1, 'playerName': 'Timothy Weah', 'playerId': 353991, 'participatingPlayerName': 'Kenan Yildiz', 'participatingPlayerId': 494525, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '91', 'type': 1, 'subType': 1, 'playerName': 'Andrea Cambiaso', 'playerId': 423440, 'participatingPlayerName': 'Samuel Mbangula', 'participatingPlayerId': 468855, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2024-08-19T18:45:33Z,2024-08-19T19:33:32Z,2024-08-19T19:48:52Z,
ITA-Serie A,2425,2024-08-19 Lecce-Atalanta,23490,1834866,6,2024-08-19T17:30:00,79,Lecce,0,0,300,Atalanta,2,0,True,True,2024-08-19 18:56:14Z,FT,1.0,False,it,it,1,True,False,False,Italy,Italy,2024-08-19 16:30:00+00:00,0,4,"[{'minute': '35', 'type': 1, 'subType': 1, 'playerName': 'Marco Brescianini', 'playerId': 367260, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '45', 'type': 1, 'subType': 1, 'playerName': 'Mateo Retegui', 'playerId': 349521, 'participatingPlayerName': 'Matteo Ruggeri', 'participatingPlayerId': 402046, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '57', 'type': 1, 'subType': 2, 'playerName': 'Mateo Retegui', 'playerId': 349521, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '66', 'type': 1, 'subType': 1, 'playerName': 'Marco Brescianini', 'playerId': 367260, 'participatingPlayerName': 'Mario Pasalic', 'participatingPlayerId': 129903, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2024-08-19T16:31:51Z,2024-08-19T17:18:34Z,2024-08-19T17:35:25Z,
